"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,2.10104485124039,0.721,0.266,0,"0","ACTA2"
"2",0,1.42541991300878,0.678,0.316,0,"0","HMCN1"
"3",0,1.38735592753102,0.812,0.571,0,"0","MYL9"
"4",0,1.34247588914133,0.954,0.872,0,"0","TPM1"
"5",0,1.3167257542945,0.82,0.535,0,"0","TAGLN"
"6",0,1.25133307004194,0.399,0.118,0,"0","CNTN6"
"7",0,1.24164301748134,0.504,0.288,0,"0","DDAH1"
"8",0,1.20796403594964,0.425,0.208,0,"0","CCN2"
"9",0,1.19201227064136,0.443,0.17,0,"0","ANO4"
"10",0,1.16406832134046,0.733,0.453,0,"0","PRKG1"
"11",0,1.12665164661795,0.665,0.484,0,"0","FBN2"
"12",0,1.11953143010437,0.864,0.714,0,"0","PDE4D"
"13",0,1.09246406316526,0.866,0.792,0,"0","TPM2"
"14",0,1.08060758455832,0.563,0.392,0,"0","MSRB3"
"15",0,1.0681761305317,0.799,0.664,0,"0","COL11A1"
"16",0,1.05943343274057,0.742,0.561,0,"0","COL12A1"
"17",0,1.05830857054274,0.851,0.644,0,"0","PCDH7"
"18",0,1.05825429257765,0.475,0.243,0,"0","SLIT3"
"19",0,1.05534506975353,0.695,0.487,0,"0","KIAA1217"
"20",0,1.04365424414236,0.73,0.535,0,"0","SEMA3C"
"21",0,1.04302707080551,0.938,0.847,0,"0","PALLD"
"22",0,1.02902068825082,0.345,0.101,0,"0","FAP"
"23",0,0.997849666652075,0.689,0.485,0,"0","DLC1"
"24",0,0.986952670270066,0.336,0.092,0,"0","ACTG2"
"25",0,0.98371444212253,0.873,0.836,0,"0","LPP"
"26",0,0.929610618767249,0.391,0.172,0,"0","MOXD1"
"27",2.74030575973279e-303,1.11916786241662,0.445,0.243,6.80637144602431e-299,"0","SOX6"
"28",1.81994063535287e-269,0.951527978379665,0.585,0.433,4.52036855008947e-265,"0","DCLK2"
"29",8.92524341007367e-257,0.978552737446471,0.588,0.412,2.2168519581941e-252,"0","IL1RAPL1"
"30",1.49541099035342e-125,0.952997854137011,0.427,0.323,3.71430181783982e-121,"0","MACROD2"
"31",0,1.6595870594881,0.879,0.305,0,"1","CCND1"
"32",0,1.63862321157492,0.679,0.133,0,"1","CDKN1A"
"33",0,1.54715246078897,0.505,0.097,0,"1","RBFOX1"
"34",0,1.49987616606609,0.984,0.645,0,"1","S100A10"
"35",0,1.46042110954623,0.78,0.234,0,"1","TMEM158"
"36",0,1.42160359204401,0.802,0.276,0,"1","NEFL"
"37",0,1.41958968129141,0.803,0.224,0,"1","PHLDA2"
"38",0,1.33437069122758,0.897,0.323,0,"1","HMGA1"
"39",0,1.33320024136824,0.893,0.389,0,"1","KRT18"
"40",0,1.26425243605434,0.995,0.963,0,"1","FTL"
"41",0,1.26319823304208,0.964,0.525,0,"1","COTL1"
"42",0,1.18091029839091,0.911,0.42,0,"1","ACAT2"
"43",0,1.15132479727889,0.944,0.691,0,"1","RPS27L"
"44",0,1.1403969013934,0.944,0.532,0,"1","FDPS"
"45",0,1.11012524843184,0.751,0.249,0,"1","DUSP6"
"46",0,1.03175682583454,0.466,0.106,0,"1","SPP1"
"47",0,1.02942972475142,0.525,0.118,0,"1","NRXN3"
"48",0,1.01847903569593,0.647,0.203,0,"1","TENM2"
"49",0,1.00491154762755,0.724,0.338,0,"1","MDM2"
"50",0,0.998425247670902,0.852,0.407,0,"1","FADS1"
"51",0,0.993737978358978,0.967,0.635,0,"1","PKM"
"52",0,0.960341622892754,0.931,0.548,0,"1","LMNA"
"53",0,0.958572360911374,0.827,0.401,0,"1","TUBB3"
"54",0,0.936617077266209,0.996,0.954,0,"1","RPS19"
"55",0,0.93453143587665,0.954,0.637,0,"1","CLIC1"
"56",0,0.929431819266795,0.542,0.077,0,"1","AL353138.1"
"57",0,0.919519349469941,0.601,0.208,0,"1","SLC7A8"
"58",0,0.917067449250786,0.516,0.078,0,"1","PTCHD4"
"59",0,0.911873474356868,0.346,0.055,0,"1","FABP7"
"60",0,0.911437446106897,0.993,0.917,0,"1","GAPDH"
"61",0,2.14971576990066,0.604,0.259,0,"2","CNTNAP2"
"62",0,1.84390593404516,0.332,0.046,0,"2","ZNF804A"
"63",0,1.80402549368363,0.403,0.072,0,"2","AC015522.1"
"64",0,1.08388764826929,0.765,0.694,0,"2","MIR99AHG"
"65",0,1.03488713129534,0.815,0.592,0,"2","NEFM"
"66",0,0.971593184353421,0.753,0.686,0,"2","RBP1"
"67",7.20401166555163e-298,1.14570088536682,0.663,0.562,1.78933241748972e-293,"2","FLRT2"
"68",1.51182042908444e-295,0.810775419956017,0.12,0.017,3.75505958175994e-291,"2","PDZRN4"
"69",2.93793272108438e-268,1.20703341616734,0.494,0.339,7.29723729262938e-264,"2","LDLRAD4"
"70",1.8333366266499e-266,1.05551096788591,0.62,0.505,4.55364151327301e-262,"2","KIAA1217"
"71",8.62432968618011e-257,0.926610239782405,0.156,0.035,2.14211100745342e-252,"2","GRID2"
"72",9.37545033704722e-243,1.08738366814738,0.515,0.371,2.32867435471579e-238,"2","LIMCH1"
"73",8.3243078621435e-239,1.01030133929951,0.69,0.672,2.0675915867992e-234,"2","FABP5"
"74",1.61317631725408e-232,0.858312674697207,0.209,0.069,4.00680733679568e-228,"2","SMOC2"
"75",3.11813860921867e-224,0.838711953561017,0.642,0.555,7.74483267757734e-220,"2","SEMA3C"
"76",2.33393376058144e-197,0.998522790330171,0.382,0.231,5.79702467453218e-193,"2","ZFHX4-AS1"
"77",2.88198740086724e-191,0.915278918414586,0.278,0.134,7.15828030627405e-187,"2","CXXC4"
"78",1.03037303057904e-188,0.828763253332418,0.625,0.565,2.55924053335223e-184,"2","NFIA"
"79",8.69496048267748e-172,0.881466478459667,0.558,0.443,2.15965428468743e-167,"2","PCDH9"
"80",2.26358645179985e-158,1.04176452095421,0.425,0.31,5.62229602898046e-154,"2","ADAMTS6"
"81",3.40792226598624e-143,0.847682240178876,0.555,0.489,8.46459732425663e-139,"2","ID1"
"82",2.17874257873236e-136,0.8348115288017,0.25,0.133,5.41156081705544e-132,"2","COL9A2"
"83",1.39938985840047e-126,0.904616810318955,0.356,0.244,3.47580453029508e-122,"2","COL2A1"
"84",3.20408277238453e-109,0.894859518170777,0.32,0.208,7.95830079004869e-105,"2","MGAT4C"
"85",1.54282359805879e-102,0.855076020685436,0.497,0.458,3.83206525285842e-98,"2","ATRNL1"
"86",2.1021016072706e-100,0.958757230096892,0.642,0.737,5.22119997213873e-96,"2","ROBO1"
"87",6.4131841552084e-94,0.927957997467758,0.248,0.151,1.59290668047066e-89,"2","LRRTM4"
"88",1.13348100129172e-82,0.883537995592704,0.308,0.231,2.81534011100839e-78,"2","AL137139.2"
"89",5.12027968039941e-77,0.838862358281668,0.333,0.262,1.2717750670176e-72,"2","AC103702.2"
"90",2.95859902769829e-14,0.969207416483031,0.251,0.229,7.34856826499702e-10,"2","AC092957.1"
"91",0,2.94250308354341,0.998,0.713,0,"3","FN1"
"92",0,2.6501692718598,0.998,0.777,0,"3","COL1A1"
"93",0,2.3287621483941,0.879,0.193,0,"3","COL6A3"
"94",0,2.2534476710824,0.923,0.447,0,"3","TGFBI"
"95",0,1.93302646099468,0.864,0.444,0,"3","IGFBP7"
"96",0,1.93199954828559,0.51,0.042,0,"3","TGM2"
"97",0,1.91352004039946,0.823,0.249,0,"3","EDIL3"
"98",0,1.88526739098667,0.997,0.609,0,"3","COL3A1"
"99",0,1.80863813553316,0.978,0.704,0,"3","LGALS1"
"100",0,1.6827330746255,0.909,0.623,0,"3","COL6A1"
"101",0,1.6535437309421,0.694,0.187,0,"3","ITGA11"
"102",0,1.64255172772127,0.813,0.243,0,"3","PRRX1"
"103",0,1.61168491351625,0.207,0.026,0,"3","MGP"
"104",0,1.61165426345688,0.567,0.174,0,"3","LUM"
"105",0,1.61003713644106,0.854,0.446,0,"3","ADAM12"
